[2024-04-18 18:38:19.866047] [0x00007f006e7d1f80] [info] [0x00010092] [1] Initial timestamp, Current time, User-defined position x, User-defined position y, User-defined position z, User-defined velocity x, User-defined velocity y, User-defined velocity z, User-defined acceleration x, User-defined acceleration y, User-defined acceleration z, User-defined yaw, User-defined yaw_dot, User-defined yaw_dot_dot
[2024-04-18 18:38:19.878169] [0x00007f006e7d1f80] [info] [0x00010092] [2] 1713479899865911, 0.011871, -5.54091e-10, -3.81344e-10, 4.1494e-10, -1.86474e-07, -1.28317e-07, 1.39628e-07, -4.70282e-05, -3.23524e-05, 3.52068e-05, 0, 0, 0
[2024-04-18 18:38:19.888087] [0x00007f006e7d1f80] [info] [0x00010092] [3] 1713479899865911, 0.021865, -6.35077e-09, -4.36843e-09, 4.754e-09, -1.15917e-06, -7.97107e-07, 8.67535e-07, -0.000158442, -0.000108898, 0.000118536, 0, 0, 0
[2024-04-18 18:38:19.898150] [0x00007f006e7d1f80] [info] [0x00010092] [4] 1713479899865911, 0.031876, -2.85676e-08, -1.96397e-08, 2.13764e-08, -3.57295e-06, -2.45525e-06, 2.6727e-06, -0.000334404, -0.000229626, 0.000250014, 0, 0, 0
[2024-04-18 18:38:19.908294] [0x00007f006e7d1f80] [info] [0x00010092] [5] 1713479899865911, 0.042013, -8.58457e-08, -5.89843e-08, 6.42104e-08, -8.13745e-06, -5.58797e-06, 6.08405e-06, -0.000576816, -0.000395711, 0.000430959, 0, 0, 0
[2024-04-18 18:38:19.918195] [0x00007f006e7d1f80] [info] [0x00010092] [6] 1713479899865911, 0.051892, -1.98973e-07, -1.36639e-07, 1.48768e-07, -1.52544e-05, -1.0468e-05, 1.13995e-05, -0.00087391, -0.000598972, 0.000652495, 0, 0, 0
[2024-04-18 18:38:19.928186] [0x00007f006e7d1f80] [info] [0x00010092] [7] 1713479899865911, 0.061894, -4.01026e-07, -2.75241e-07, 2.99719e-07, -2.57492e-05, -1.76575e-05, 1.92325e-05, -0.00123456, -0.000845365, 0.000921148, 0, 0, 0
[2024-04-18 18:38:19.938169] [0x00007f006e7d1f80] [info] [0x00010092] [8] 1713479899865911, 0.071868, -7.25952e-07, -4.97974e-07, 5.42346e-07, -4.01007e-05, -2.74798e-05, 2.99368e-05, -0.00165287, -0.00113073, 0.00123242, 0, 0, 0
[2024-04-18 18:38:19.948133] [0x00007f006e7d1f80] [info] [0x00010092] [9] 1713479899865911, 0.081869, -1.21737e-06, -8.34603e-07, 9.09113e-07, -5.89685e-05, -4.03808e-05, 4.40001e-05, -0.0021298, -0.00145561, 0.00158694, 0, 0, 0
[2024-04-18 18:38:19.958137] [0x00007f006e7d1f80] [info] [0x00010092] [10] 1713479899865911, 0.091859, -1.92137e-06, -1.31651e-06, 1.43427e-06, -8.28593e-05, -5.67008e-05, 6.17951e-05, -0.00266239, -0.00181786, 0.00198241, 0, 0, 0
[2024-04-18 18:38:19.968310] [0x00007f006e7d1f80] [info] [0x00010092] [11] 1713479899865911, 0.101887, -2.89581e-06, -1.98307e-06, 2.16079e-06, -0.000112469, -7.69081e-05, 8.38347e-05, -0.00325217, -0.0022184, 0.00241988, 0, 0, 0
[2024-04-18 18:38:19.978031] [0x00007f006e7d1f80] [info] [0x00010092] [12] 1713479899865911, 0.111836, -4.18603e-06, -2.86502e-06, 3.12227e-06, -0.000147958, -0.000101104, 0.000110232, -0.00389065, -0.00265136, 0.00289294, 0, 0, 0
[2024-04-18 18:38:19.987859] [0x00007f006e7d1f80] [info] [0x00010092] [13] 1713479899865911, 0.121807, -5.86598e-06, -4.01255e-06, 4.37353e-06, -0.000190158, -0.000129848, 0.000141599, -0.00458258, -0.00311984, 0.00340505, 0, 0, 0
[2024-04-18 18:38:19.997878] [0x00007f006e7d1f80] [info] [0x00010092] [14] 1713479899865911, 0.131814, -8.01057e-06, -5.47642e-06, 5.97005e-06, -0.000239704, -0.000163562, 0.0001784, -0.00532815, -0.00362384, 0.00395623, 0, 0, 0
[2024-04-18 18:38:20.007847] [0x00007f006e7d1f80] [info] [0x00010092] [15] 1713479899865911, 0.141817, -1.0688e-05, -7.30264e-06, 7.96216e-06, -0.000296938, -0.000202468, 0.000220882, -0.00612336, -0.00416054, 0.00454343, 0, 0, 0
[2024-04-18 18:38:20.017849] [0x00007f006e7d1f80] [info] [0x00010092] [16] 1713479899865911, 0.151804, -1.39727e-05, -9.54149e-06, 1.04049e-05, -0.000362259, -0.000246829, 0.000269331, -0.00696586, -0.00472825, 0.00516485, 0, 0, 0
[2024-04-18 18:38:20.027835] [0x00007f006e7d1f80] [info] [0x00010092] [17] 1713479899865911, 0.161808, -1.79599e-05, -1.22572e-05, 1.33685e-05, -0.000436365, -0.000297104, 0.000324257, -0.00785723, -0.00532791, 0.00582154, 0, 0, 0
[2024-04-18 18:38:20.037820] [0x00007f006e7d1f80] [info] [0x00010092] [18] 1713479899865911, 0.171803, -2.27293e-05, -1.55033e-05, 1.69116e-05, -0.000519542, -0.000353476, 0.000385861, -0.00879398, -0.00595706, 0.00651085, 0, 0, 0
[2024-04-18 18:38:20.047811] [0x00007f006e7d1f80] [info] [0x00010092] [19] 1713479899865911, 0.181803, -2.83806e-05, -1.93467e-05, 2.11076e-05, -0.000612355, -0.000416316, 0.000454552, -0.0097762, -0.00661564, 0.00723274, 0, 0, 0
[2024-04-18 18:38:20.057827] [0x00007f006e7d1f80] [info] [0x00010092] [20] 1713479899865911, 0.191807, -3.50127e-05, -2.3854e-05, 2.60294e-05, -0.000715255, -0.000485912, 0.000530652, -0.0108026, -0.00730272, 0.00798624, 0, 0, 0
[2024-04-18 18:38:20.067842] [0x00007f006e7d1f80] [info] [0x00010092] [21] 1713479899865911, 0.201769, -4.26916e-05, -2.90686e-05, 3.17248e-05, -0.000828138, -0.000562183, 0.000614074, -0.0118672, -0.00801406, 0.00876673, -2.5452, -0.0347074, -0.0156716
[2024-04-18 18:38:20.077870] [0x00007f006e7d1f80] [info] [0x00010092] [22] 1713479899865911, 0.211783, -5.1598e-05, -3.51124e-05, 3.83272e-05, -0.000952508, -0.000646127, 0.000705915, -0.0129787, -0.00875552, 0.00958068, -2.54555, -0.0348648, -0.0157693
[2024-04-18 18:38:20.087817] [0x00007f006e7d1f80] [info] [0x00010092] [23] 1713479899865911, 0.221801, -6.18106e-05, -4.20374e-05, 4.58938e-05, -0.00108827, -0.000737662, 0.000806092, -0.0141311, -0.0095229, 0.0104235, -2.5459, -0.0350233, -0.0158679
[2024-04-18 18:38:20.097855] [0x00007f006e7d1f80] [info] [0x00010092] [24] 1713479899865911, 0.231809, -7.34294e-05, -4.991e-05, 5.44975e-05, -0.00123562, -0.000836907, 0.000914739, -0.0153216, -0.0103142, 0.011293, -2.54625, -0.0351826, -0.0159672
[2024-04-18 18:38:20.107805] [0x00007f006e7d1f80] [info] [0x00010092] [25] 1713479899865911, 0.241797, -8.65552e-05, -5.87969e-05, 6.4212e-05, -0.00139474, -0.000943968, 0.00103198, -0.0165476, -0.0111277, 0.0121874, -2.5466, -0.0353426, -0.0160672
[2024-04-18 18:38:20.117798] [0x00007f006e7d1f80] [info] [0x00010092] [26] 1713479899865911, 0.251794, -0.000101346, -6.88036e-05, 7.51529e-05, -0.00156646, -0.00105938, 0.0011584, -0.0178116, -0.0119647, 0.0131082, -2.54696, -0.0355037, -0.0161681
[2024-04-18 18:38:20.127861] [0x00007f006e7d1f80] [info] [0x00010092] [27] 1713479899865911, 0.261811, -0.000117953, -8.003e-05, 8.743e-05, -0.00175137, -0.00118352, 0.00129443, -0.0191139, -0.0128256, 0.0140557, -2.54731, -0.0356662, -0.01627
[2024-04-18 18:38:20.137791] [0x00007f006e7d1f80] [info] [0x00010092] [28] 1713479899865911, 0.27179, -0.000136403, -9.24934e-05, 0.000101063, -0.00194872, -0.00131588, 0.0014395, -0.0204458, -0.0137044, 0.0150234, -2.54767, -0.035829, -0.0163724
[2024-04-18 18:38:20.147776] [0x00007f006e7d1f80] [info] [0x00010092] [29] 1713479899865911, 0.281783, -0.00015692, -0.000106342, 0.000116214, -0.00215984, -0.00145731, 0.00159457, -0.0218131, -0.0146048, 0.0160155, -2.54803, -0.0359931, -0.0164759
[2024-04-18 18:38:20.157803] [0x00007f006e7d1f80] [info] [0x00010092] [30] 1713479899865911, 0.291797, -0.000179666, -0.000121683, 0.000133002, -0.00238527, -0.00160816, 0.00176001, -0.0232157, -0.0155266, 0.0170318, -2.54839, -0.0361587, -0.0165804
[2024-04-18 18:38:20.167821] [0x00007f006e7d1f80] [info] [0x00010092] [31] 1713479899865911, 0.301771, -0.000204635, -0.000138511, 0.000151421, -0.00262392, -0.00176768, 0.00193503, -0.024644, -0.0164635, 0.0180652, -2.54875, -0.0363246, -0.0166854
[2024-04-18 18:38:20.177846] [0x00007f006e7d1f80] [info] [0x00010092] [32] 1713479899865911, 0.311782, -0.000232162, -0.000157048, 0.000171715, -0.00287794, -0.00193728, 0.00212115, -0.0261079, -0.0174218, 0.0191229, -2.54912, -0.0364921, -0.0167917
